# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = LDA_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = LDA_1.data.R
# init = 2 (Default)
# random
#   seed = 4189522076
# output
#   file = LDA_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.3.1,theta.4.1,theta.5.1,theta.6.1,theta.7.1,theta.8.1,theta.9.1,theta.10.1,theta.11.1,theta.12.1,theta.13.1,theta.14.1,theta.15.1,theta.16.1,theta.17.1,theta.18.1,theta.19.1,theta.20.1,theta.21.1,theta.22.1,theta.23.1,theta.24.1,theta.25.1,theta.1.2,theta.2.2,theta.3.2,theta.4.2,theta.5.2,theta.6.2,theta.7.2,theta.8.2,theta.9.2,theta.10.2,theta.11.2,theta.12.2,theta.13.2,theta.14.2,theta.15.2,theta.16.2,theta.17.2,theta.18.2,theta.19.2,theta.20.2,theta.21.2,theta.22.2,theta.23.2,theta.24.2,theta.25.2,phi.1.1,phi.2.1,phi.1.2,phi.2.2,phi.1.3,phi.2.3,phi.1.4,phi.2.4,phi.1.5,phi.2.5
-443.866,0.894371,0.25,4,31,0,486.767,0.113151,0.419846,0.4348,0.182695,0.103854,0.905125,0.00890305,0.052578,0.904738,0.17647,0.763416,0.486574,0.0472195,0.301613,0.0113159,0.00191328,0.0863593,0.3831,0.268788,0.671387,0.597178,0.200074,0.791115,0.408003,0.134437,0.886849,0.580154,0.5652,0.817305,0.896146,0.094875,0.991097,0.947422,0.0952623,0.82353,0.236584,0.513426,0.95278,0.698387,0.988684,0.998087,0.913641,0.6169,0.731212,0.328613,0.402822,0.799926,0.208885,0.591997,0.865563,0.246779,0.308597,0.0409568,0.216231,0.0923251,0.271439,0.369495,0.198084,0.250445,0.00564953
-443.866,0.5,11.8718,0,1,1,464.099,0.113151,0.419846,0.4348,0.182695,0.103854,0.905125,0.00890305,0.052578,0.904738,0.17647,0.763416,0.486574,0.0472195,0.301613,0.0113159,0.00191328,0.0863593,0.3831,0.268788,0.671387,0.597178,0.200074,0.791115,0.408003,0.134437,0.886849,0.580154,0.5652,0.817305,0.896146,0.094875,0.991097,0.947422,0.0952623,0.82353,0.236584,0.513426,0.95278,0.698387,0.988684,0.998087,0.913641,0.6169,0.731212,0.328613,0.402822,0.799926,0.208885,0.591997,0.865563,0.246779,0.308597,0.0409568,0.216231,0.0923251,0.271439,0.369495,0.198084,0.250445,0.00564953
-443.866,0.5,6.15899,0,1,1,457.461,0.113151,0.419846,0.4348,0.182695,0.103854,0.905125,0.00890305,0.052578,0.904738,0.17647,0.763416,0.486574,0.0472195,0.301613,0.0113159,0.00191328,0.0863593,0.3831,0.268788,0.671387,0.597178,0.200074,0.791115,0.408003,0.134437,0.886849,0.580154,0.5652,0.817305,0.896146,0.094875,0.991097,0.947422,0.0952623,0.82353,0.236584,0.513426,0.95278,0.698387,0.988684,0.998087,0.913641,0.6169,0.731212,0.328613,0.402822,0.799926,0.208885,0.591997,0.865563,0.246779,0.308597,0.0409568,0.216231,0.0923251,0.271439,0.369495,0.198084,0.250445,0.00564953
-443.866,0.5,2.59929,0,1,1,461.327,0.113151,0.419846,0.4348,0.182695,0.103854,0.905125,0.00890305,0.052578,0.904738,0.17647,0.763416,0.486574,0.0472195,0.301613,0.0113159,0.00191328,0.0863593,0.3831,0.268788,0.671387,0.597178,0.200074,0.791115,0.408003,0.134437,0.886849,0.580154,0.5652,0.817305,0.896146,0.094875,0.991097,0.947422,0.0952623,0.82353,0.236584,0.513426,0.95278,0.698387,0.988684,0.998087,0.913641,0.6169,0.731212,0.328613,0.402822,0.799926,0.208885,0.591997,0.865563,0.246779,0.308597,0.0409568,0.216231,0.0923251,0.271439,0.369495,0.198084,0.250445,0.00564953
-443.866,0.333333,1.00079,1,2,1,457.119,0.113151,0.419846,0.4348,0.182695,0.103854,0.905125,0.00890305,0.052578,0.904738,0.17647,0.763416,0.486574,0.0472195,0.301613,0.0113159,0.00191328,0.0863593,0.3831,0.268788,0.671387,0.597178,0.200074,0.791115,0.408003,0.134437,0.886849,0.580154,0.5652,0.817305,0.896146,0.094875,0.991097,0.947422,0.0952623,0.82353,0.236584,0.513426,0.95278,0.698387,0.988684,0.998087,0.913641,0.6169,0.731212,0.328613,0.402822,0.799926,0.208885,0.591997,0.865563,0.246779,0.308597,0.0409568,0.216231,0.0923251,0.271439,0.369495,0.198084,0.250445,0.00564953
-422.372,1,0.225222,5,31,0,452.877,0.980786,0.997755,0.566126,0.790111,0.005962,0.994477,0.000631097,0.0178388,0.906219,0.000506951,0.972737,0.957664,0.326561,0.999367,0.173574,0.051696,0.0930549,0.00759003,0.922371,0.946872,0.0209439,0.118685,0.585311,0.456864,0.00822289,0.0192142,0.00224474,0.433874,0.209889,0.994038,0.00552261,0.999369,0.982161,0.0937812,0.999493,0.0272635,0.0423361,0.673439,0.000632916,0.826426,0.948304,0.906945,0.99241,0.0776294,0.0531275,0.979056,0.881315,0.414689,0.543136,0.991777,2.90911e-07,0.328662,6.17631e-05,0.278888,0.225895,0.232374,0.468553,0.12808,0.30549,0.0319953
-422.372,0.0475256,0.375072,4,23,1,440.926,0.980786,0.997755,0.566126,0.790111,0.005962,0.994477,0.000631097,0.0178388,0.906219,0.000506951,0.972737,0.957664,0.326561,0.999367,0.173574,0.051696,0.0930549,0.00759003,0.922371,0.946872,0.0209439,0.118685,0.585311,0.456864,0.00822289,0.0192142,0.00224474,0.433874,0.209889,0.994038,0.00552261,0.999369,0.982161,0.0937812,0.999493,0.0272635,0.0423361,0.673439,0.000632916,0.826426,0.948304,0.906945,0.99241,0.0776294,0.0531275,0.979056,0.881315,0.414689,0.543136,0.991777,2.90911e-07,0.328662,6.17631e-05,0.278888,0.225895,0.232374,0.468553,0.12808,0.30549,0.0319953
-401.948,0.994328,0.0341401,8,255,0,435.165,0.945898,0.976133,0.566286,0.250791,0.0750549,0.967695,0.171409,0.000250251,0.959666,0.00263949,0.997768,0.926761,0.22722,0.995731,0.064397,0.827248,0.211706,0.0158625,0.481934,0.964703,0.00608509,0.231576,0.71089,0.429021,0.0158008,0.0541023,0.023867,0.433714,0.749209,0.924945,0.0323051,0.828591,0.99975,0.0403339,0.997361,0.00223191,0.0732389,0.77278,0.00426863,0.935603,0.172752,0.788294,0.984138,0.518066,0.0352971,0.993915,0.768424,0.28911,0.570979,0.984199,1.08023e-06,0.377227,0.000402804,0.295024,0.20471,0.257954,0.424636,0.0441907,0.37025,0.025603
-399.046,0.999582,0.0595226,6,127,0,416.736,0.989458,0.948869,0.619767,0.751283,0.0724713,0.820198,0.993718,0.00106118,0.866404,0.0339207,0.975706,0.955668,0.519529,0.996334,0.00333557,0.932977,0.00793739,0.509432,0.951465,0.969888,0.00654974,0.34198,0.681137,0.63737,0.0672659,0.0105425,0.0511308,0.380233,0.248717,0.927529,0.179802,0.00628174,0.998939,0.133596,0.966079,0.0242939,0.0443324,0.480471,0.00366592,0.996664,0.0670232,0.992063,0.490568,0.048535,0.0301125,0.99345,0.65802,0.318863,0.36263,0.932734,4.72765e-07,0.422407,3.51236e-05,0.343358,0.257183,0.228224,0.409916,0.000401607,0.332866,0.00560885
-403.233,0.918075,0.109053,6,127,0,424.795,0.569654,0.98382,0.548728,0.511775,2.80612e-05,0.986748,0.821124,0.0033775,0.972506,0.035057,0.952437,0.753577,0.213867,0.988592,0.00042951,0.701173,0.410908,0.000551506,0.863532,0.743261,0.661206,0.0563255,0.693284,0.354746,0.0206527,0.430346,0.0161804,0.451272,0.488225,0.999972,0.0132517,0.178876,0.996622,0.0274941,0.964943,0.0475633,0.246423,0.786133,0.0114076,0.99957,0.298827,0.589092,0.999448,0.136468,0.256739,0.338794,0.943674,0.306716,0.645254,0.979347,0.000296441,0.390882,1.11637e-09,0.235581,0.255515,0.371896,0.461579,2.51804e-06,0.28261,0.00163841
