# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = Naive_Bayes_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = Naive_Bayes_1.data.R
# init = 2 (Default)
# random
#   seed = 4193878922
# output
#   file = Naive_Bayes_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,theta.4,phi.1.1,phi.2.1,phi.3.1,phi.4.1,phi.1.2,phi.2.2,phi.3.2,phi.4.2,phi.1.3,phi.2.3,phi.3.3,phi.4.3,phi.1.4,phi.2.4,phi.3.4,phi.4.4,phi.1.5,phi.2.5,phi.3.5,phi.4.5,phi.1.6,phi.2.6,phi.3.6,phi.4.6,phi.1.7,phi.2.7,phi.3.7,phi.4.7,phi.1.8,phi.2.8,phi.3.8,phi.4.8,phi.1.9,phi.2.9,phi.3.9,phi.4.9,phi.1.10,phi.2.10,phi.3.10,phi.4.10
-4166.1,0.352941,0.125,4,16,1,5077.01,0.590332,0.180591,0.053574,0.175504,0.0812853,0.0164379,0.175344,0.141566,0.0178382,0.225235,0.110195,0.270291,0.0884167,0.285118,0.0294367,0.202876,0.0809447,0.180661,0.139924,0.0251687,0.019028,0.137422,0.220736,0.064274,0.0777617,0.0771205,0.0815956,0.0362176,0.499028,0.0423366,0.15,0.0800113,0.0177507,0.0242262,0.0721444,0.127678,0.0564746,0.00273585,0.00988939,0.0336515,0.0614719,0.00870832,0.0107354,0.0182665
-4166.1,0.5,4.43599,0,1,1,4188.56,0.590332,0.180591,0.053574,0.175504,0.0812853,0.0164379,0.175344,0.141566,0.0178382,0.225235,0.110195,0.270291,0.0884167,0.285118,0.0294367,0.202876,0.0809447,0.180661,0.139924,0.0251687,0.019028,0.137422,0.220736,0.064274,0.0777617,0.0771205,0.0815956,0.0362176,0.499028,0.0423366,0.15,0.0800113,0.0177507,0.0242262,0.0721444,0.127678,0.0564746,0.00273585,0.00988939,0.0336515,0.0614719,0.00870832,0.0107354,0.0182665
-4166.1,0.5,1.71901,0,1,1,4187.7,0.590332,0.180591,0.053574,0.175504,0.0812853,0.0164379,0.175344,0.141566,0.0178382,0.225235,0.110195,0.270291,0.0884167,0.285118,0.0294367,0.202876,0.0809447,0.180661,0.139924,0.0251687,0.019028,0.137422,0.220736,0.064274,0.0777617,0.0771205,0.0815956,0.0362176,0.499028,0.0423366,0.15,0.0800113,0.0177507,0.0242262,0.0721444,0.127678,0.0564746,0.00273585,0.00988939,0.0336515,0.0614719,0.00870832,0.0107354,0.0182665
-4166.1,0.5,0.614156,0,1,1,4184.28,0.590332,0.180591,0.053574,0.175504,0.0812853,0.0164379,0.175344,0.141566,0.0178382,0.225235,0.110195,0.270291,0.0884167,0.285118,0.0294367,0.202876,0.0809447,0.180661,0.139924,0.0251687,0.019028,0.137422,0.220736,0.064274,0.0777617,0.0771205,0.0815956,0.0362176,0.499028,0.0423366,0.15,0.0800113,0.0177507,0.0242262,0.0721444,0.127678,0.0564746,0.00273585,0.00988939,0.0336515,0.0614719,0.00870832,0.0107354,0.0182665
-4166.1,0.333333,0.213066,1,2,1,4182.35,0.590332,0.180591,0.053574,0.175504,0.0812853,0.0164379,0.175344,0.141566,0.0178382,0.225235,0.110195,0.270291,0.0884167,0.285118,0.0294367,0.202876,0.0809447,0.180661,0.139924,0.0251687,0.019028,0.137422,0.220736,0.064274,0.0777617,0.0771205,0.0815956,0.0362176,0.499028,0.0423366,0.15,0.0800113,0.0177507,0.0242262,0.0721444,0.127678,0.0564746,0.00273585,0.00988939,0.0336515,0.0614719,0.00870832,0.0107354,0.0182665
-3763.99,1,0.044829,5,31,0,4181.13,0.440522,0.240405,0.178696,0.140376,0.101435,0.0297581,0.0202533,0.282942,0.0231703,0.154972,0.0128812,0.57595,0.0216319,0.555871,0.276304,0.0184327,0.0393311,0.0750596,0.0134696,0.0125322,0.0202074,0.0113054,0.529174,0.0176887,0.0671363,0.00919947,0.101744,0.014031,0.555784,0.0240391,0.0162284,0.0294666,0.0375699,0.0223965,0.0186592,0.0198433,0.128291,0.0766097,0.00705889,0.0213332,0.00544392,0.0407898,0.00422689,0.00778018
-3672.45,1,0.0714741,4,15,0,3779.27,0.486488,0.185136,0.18422,0.144156,0.180308,0.0334719,0.0281979,0.272502,0.0236744,0.164635,0.0132953,0.579169,0.0232316,0.413284,0.228227,0.0181719,0.0404522,0.122896,0.0187328,0.0121406,0.0157199,0.0154428,0.491075,0.0137318,0.0671123,0.0140527,0.137367,0.0175725,0.468749,0.0379625,0.0273126,0.0307047,0.0353785,0.0363209,0.0370339,0.0205662,0.138522,0.112793,0.0107726,0.0248896,0.00685182,0.049141,0.00798496,0.010552
-3662.51,1,0.122721,3,7,0,3688.16,0.533768,0.168325,0.174284,0.123624,0.20126,0.0292579,0.0371758,0.264936,0.0213924,0.186367,0.0139431,0.573315,0.0241123,0.418489,0.24295,0.0183838,0.0408371,0.129944,0.0196241,0.0132216,0.0169002,0.0130018,0.447043,0.0132301,0.0703429,0.0131465,0.143562,0.0200554,0.471541,0.0341482,0.0341865,0.0341852,0.0269753,0.0312528,0.040279,0.0248379,0.119089,0.107682,0.0124296,0.0264545,0.00754926,0.03671,0.00880703,0.0113807
-3662.51,0.166674,0.220516,2,5,1,3686.83,0.533768,0.168325,0.174284,0.123624,0.20126,0.0292579,0.0371758,0.264936,0.0213924,0.186367,0.0139431,0.573315,0.0241123,0.418489,0.24295,0.0183838,0.0408371,0.129944,0.0196241,0.0132216,0.0169002,0.0130018,0.447043,0.0132301,0.0703429,0.0131465,0.143562,0.0200554,0.471541,0.0341482,0.0341865,0.0341852,0.0269753,0.0312528,0.040279,0.0248379,0.119089,0.107682,0.0124296,0.0264545,0.00754926,0.03671,0.00880703,0.0113807
-3616.52,0.997055,0.0292988,4,15,0,3676.06,0.487522,0.234506,0.16878,0.109193,0.183993,0.0238727,0.0380068,0.240387,0.0183148,0.173505,0.0163617,0.390329,0.0506189,0.485549,0.111974,0.0423972,0.0564284,0.100851,0.0363709,0.0362198,0.0103764,0.0108195,0.455684,0.0331083,0.0595222,0.0204712,0.152672,0.0264472,0.435483,0.0563522,0.0455659,0.0649996,0.0304631,0.0321644,0.0723967,0.0466459,0.135835,0.0743662,0.0390322,0.086938,0.0189647,0.0220494,0.0319358,0.0325279
-3617.46,0.962202,0.0541952,5,31,0,3634.62,0.542375,0.223353,0.171201,0.0630712,0.181415,0.0342575,0.0400776,0.191523,0.0171028,0.174823,0.0225337,0.533545,0.0354801,0.424374,0.182953,0.0310569,0.0500564,0.133524,0.0350463,0.0241774,0.00958354,0.0153013,0.453147,0.0420721,0.0634257,0.018946,0.141121,0.0304222,0.474258,0.0365059,0.0260579,0.0396372,0.0341054,0.0433985,0.0435111,0.0310049,0.120485,0.0902604,0.0339345,0.0488898,0.0140881,0.0286092,0.021618,0.0276706
-3609.25,0.876029,0.0909996,4,15,0,3630.8,0.541819,0.245075,0.124377,0.0887292,0.180107,0.013582,0.0457018,0.198293,0.0286126,0.179445,0.0262593,0.505272,0.03971,0.451837,0.157419,0.0219339,0.0519278,0.123387,0.0144114,0.039323,0.0191344,0.0119876,0.477121,0.0624864,0.061176,0.0240637,0.147151,0.0332061,0.448612,0.0598659,0.0219634,0.0494443,0.0248241,0.0188176,0.0433671,0.0127953,0.121912,0.0875588,0.0331318,0.0634947,0.0239842,0.0294566,0.0334742,0.0137513
-3611.58,0.577443,0.117264,5,47,0,3629.92,0.486648,0.251854,0.19308,0.0684185,0.184877,0.0306064,0.0488314,0.214807,0.0288791,0.196899,0.0303864,0.425657,0.0370467,0.456166,0.152113,0.0275124,0.0649514,0.102659,0.0183121,0.041255,0.0148582,0.00986783,0.479235,0.091338,0.0667583,0.0234066,0.149661,0.0399469,0.431867,0.0479859,0.0236572,0.0571223,0.0254831,0.0360953,0.0444314,0.000509243,0.126498,0.0664096,0.0240661,0.0787258,0.0187811,0.0299034,0.0293057,0.0231265
-3619.2,0.914423,0.0595199,5,31,0,3630.41,0.568466,0.225037,0.164715,0.0417827,0.198407,0.0252792,0.0402544,0.197877,0.0283778,0.175679,0.028404,0.48712,0.0467462,0.435121,0.170303,0.0246994,0.0521899,0.116772,0.0142712,0.043705,0.0201479,0.0131442,0.39448,0.0820701,0.0473292,0.0318337,0.16744,0.0395038,0.445966,0.0478764,0.0374918,0.0422589,0.0258492,0.0400494,0.0741936,0.000396684,0.115591,0.0872628,0.0361932,0.0597358,0.0193949,0.0269831,0.0369683,0.0226331
-3613.47,0.975156,0.0874635,4,15,0,3635.54,0.492878,0.255628,0.199056,0.0524378,0.19789,0.02515,0.0327849,0.183351,0.0274956,0.178288,0.0294685,0.447739,0.0437526,0.451208,0.164357,0.0318161,0.0612334,0.120174,0.0171471,0.061113,0.0159551,0.0108217,0.417888,0.0745661,0.0724088,0.0293216,0.177396,0.0492936,0.41429,0.0574905,0.0298608,0.0469074,0.021961,0.0269876,0.0638599,0.000631297,0.125152,0.0770709,0.032065,0.0807018,0.0198619,0.0234876,0.0351726,0.0238807
-3613.98,0.141926,0.155059,4,31,0,3633.92,0.496268,0.28009,0.170078,0.0535637,0.201007,0.0324138,0.0519511,0.22647,0.0165487,0.195733,0.0189977,0.487677,0.0405367,0.460507,0.123127,0.0277133,0.0431697,0.105101,0.0307395,0.0303739,0.0143854,0.00967561,0.514084,0.0476415,0.058928,0.0194423,0.133959,0.0417387,0.449412,0.0371083,0.0231367,0.0476631,0.0313944,0.0324996,0.061483,0.000825444,0.127969,0.0730409,0.0176619,0.0782201,0.0166486,0.0344784,0.0248606,0.0116767
-3613.07,0.988291,0.0210695,6,63,0,3629.02,0.517011,0.194683,0.158095,0.13021,0.182404,0.0170757,0.0360427,0.17574,0.0270152,0.191693,0.0165851,0.522123,0.0495914,0.439957,0.133087,0.0193982,0.0499399,0.100315,0.0218079,0.0522974,0.014338,0.0153464,0.509055,0.0323116,0.0567729,0.021167,0.14451,0.0265714,0.466094,0.0601594,0.0251352,0.0521539,0.0236461,0.0240537,0.0419151,0.000951706,0.110468,0.10105,0.0532288,0.0790865,0.0197301,0.0291833,0.0186343,0.0393661
-3616.42,0.932722,0.0391931,5,31,0,3631.17,0.523177,0.237828,0.183052,0.0559438,0.16631,0.0318717,0.0545398,0.227647,0.0204082,0.181309,0.0214698,0.440162,0.0496149,0.437969,0.132626,0.0163925,0.0524457,0.127515,0.0377203,0.0176689,0.0147216,0.0145474,0.484621,0.0837935,0.0592357,0.027715,0.145604,0.0275185,0.446191,0.0410826,0.013964,0.0527516,0.0357574,0.0358251,0.0554096,0.000381311,0.138777,0.0724115,0.0267596,0.0914445,0.0165381,0.0297531,0.0272858,0.0422403
